level,species,z,theta
resources,1,8.685073552026688,2.853896335639139
resources,2,7.670030816112332,2.3616858930973073
resources,3,8.882159842306327,6.2554223382535
resources,4,14.805735940311743,6.155824188151291
resources,5,8.728501039430327,5.595976759773542
resources,6,7.02704723964701,2.488253681968091
resources,7,7.972170005495387,1.9959707520546122
resources,8,7.641987527925257,4.762966216730522
resources,9,8.45790847897259,6.585665963202234
resources,10,14.514911549296485,8.686741443839923
resources,11,0.03408682494940862,0.03408682494940862
resources,12,7.027750424884376,4.9558559505530875
resources,13,7.448801671657581,6.182300691748461
resources,14,15.868484461527347,9.75494519829454
consumers,1,5.805498659851001,1.2137401803816639
consumers,2,8.917086420855743,9.774430492762312
consumers,3,7.007414631815232,3.8386918982607843
consumers,4,13.54168338103189,9.79024831220261
consumers,5,8.192728034961242,9.411036651339304
consumers,6,6.528127802056839,1.5190593933000618
consumers,7,8.094551493777793,8.496204090367074
consumers,8,7.87197258586991,9.095929088641348
consumers,9,11.930078337257882,5.860841219968624
consumers,10,10.676768654211246,1.3489996446873032
consumers,11,7.922446161590128,9.971936159974977
consumers,12,5.702436984525439,0.9716874844465462
consumers,13,7.988747522193161,9.227875397453154
