level,species,z,theta
resources,1,7.5030707308361455,9.552299602468537
resources,2,4.287549592450096,3.4165162547797356
resources,3,3.361020921385209,2.0348592817811895
resources,4,2.820513036598622,0.33871919844710385
resources,5,6.442397483400697,7.241408325496046
resources,6,7.136510147831021,8.649661663600654
resources,7,6.572356333149768,6.793918841717703
resources,8,4.11475775247955,0.46717807272599776
resources,9,5.536321639930841,3.8487981169737773
resources,10,4.758269048865024,3.79008462108541
resources,11,3.4636040926413507,1.595646300485225
resources,12,5.70522622375951,3.0867446038818303
resources,13,6.477226096940769,6.114773043761527
consumers,1,6.659615758293145,7.970249045250107
consumers,2,6.593723893782039,7.721638315865884
consumers,3,5.015960015554721,4.8429460198773295
consumers,4,7.102537875656299,8.77687349685409
consumers,5,3.618185480314922,2.3277130968428317
consumers,6,5.002019849244067,7.014056054386524
consumers,7,2.3879810361797285,0.041414667818184814
consumers,8,4.750753535326504,4.554468096353954
consumers,9,3.516395986642222,3.4925066150263473
consumers,10,6.29448348470709,3.4863131016049342
consumers,11,4.13987320628025,3.7952726047875984
consumers,12,7.1525757634313205,6.340798947286263
consumers,13,7.35192336514305,6.992864039347313
