level,species,z,theta
resources,1,5.548199364121969,5.203016756873911
resources,2,4.745653640411068,2.5404723912241622
resources,3,3.6102758992983133,0.17844381107528617
resources,4,4.488591321966295,3.089874807458828
resources,5,6.79016798121727,7.958739889163226
resources,6,5.397262865053056,2.3882586549922324
resources,7,5.234909325856643,4.012955730924331
resources,8,4.628649393702249,0.41597230313040745
resources,9,6.550948786539931,6.694783406901692
resources,10,7.800262059030898,8.573295206473945
resources,11,5.153115802618613,0.31310316317861187
resources,12,3.033016726056788,2.174065751961538
resources,13,7.1327786779918565,9.538758705631473
resources,14,4.701736609676026,8.055182803736018
resources,15,7.6486410836677745,8.441568032260179
resources,16,5.274985075398104,3.2151191993755224
resources,17,7.025219169733922,5.559126533690611
resources,18,5.060780542809495,2.537530876757401
resources,19,3.805461824292551,4.7463891736304635
resources,20,6.247767334975079,3.0839996869233355
resources,21,7.085690959081142,6.879067018443125
resources,22,6.0748738634778965,2.461384484812923
resources,23,6.287088453501331,6.65164180272066
resources,24,5.100290756386048,5.131418568747346
resources,25,7.661606360218581,7.710677147856604
consumers,1,7.639696097084459,9.962501953984269
consumers,2,6.13595664096537,7.3512985284905685
consumers,3,5.088156078609857,5.000332067635302
consumers,4,7.168888740604794,9.157226107016537
consumers,5,7.302636551365497,7.343825834445874
consumers,6,3.416091836069442,2.5336983680073977
consumers,7,4.814805985302945,4.125893049466294
consumers,8,4.585513421193297,5.666489999412834
consumers,9,6.404425594780069,9.141080601572543
consumers,10,6.146026910137839,9.413956288305735
consumers,11,5.254978169292711,4.559408197547259
consumers,12,4.358592986606503,1.6192358771831161
consumers,13,6.129909620591299,7.559218371755055
